source,target,weight
1-eleven--1,成长pgjm,0.18947311
1-eleven--1,猫在撒娇,0.11427323
1-eleven--1,象巧欣,0.14998069
1-eleven--1,忘鸟爱,0.1170083
1-eleven--1,早睡第一名_,0.11014736
1-eleven--1,Typewriter猴_VoV,0.15345791
1-eleven--1,係贝拉唔係备啦,0.12246937
1-eleven--1,嗨我来抓人了,0.14003163
1-eleven--1,车厘子大嘴,0.11799702
1-eleven--1,冰阔落味嘴唇的美少女,0.12056469
仔仔糖糖宝贝滴妈,用户6420794537,0.1226589
仔仔糖糖宝贝滴妈,卞卞1995,0.11538976
仔仔糖糖宝贝滴妈,unhappygoose,0.12707866
仔仔糖糖宝贝滴妈,正宗糖丝儿,0.12026773
仔仔糖糖宝贝滴妈,Hell3rGoh螺,0.15189797
仔仔糖糖宝贝滴妈,婧儿Jing5288,0.11108448
仔仔糖糖宝贝滴妈,夕丙搏洁,0.12496886
仔仔糖糖宝贝滴妈,空中飞舞的Jacky,0.11805072
仔仔糖糖宝贝滴妈,荞麦面和榴莲更配哦,0.12917407
仔仔糖糖宝贝滴妈,成长pgjm,0.19499528
仔仔糖糖宝贝滴妈,猫在撒娇,0.11046049
仔仔糖糖宝贝滴妈,象巧欣,0.14873287
仔仔糖糖宝贝滴妈,忘鸟爱,0.11916921
仔仔糖糖宝贝滴妈,Typewriter猴_VoV,0.15866692
仔仔糖糖宝贝滴妈,係贝拉唔係备啦,0.11992888
仔仔糖糖宝贝滴妈,嗨我来抓人了,0.14393901
仔仔糖糖宝贝滴妈,车厘子大嘴,0.11682813
仔仔糖糖宝贝滴妈,冰阔落味嘴唇的美少女,0.11762591
用户6420794537,舞狮队二妹上树冥想记,0.11173756
用户6420794537,Lucky_阿柒,0.11511602
用户6420794537,Gio_莫太,0.11254614
用户6420794537,青二才小十,0.13917251
用户6420794537,TONGJINLING59,0.11237074
用户6420794537,文酱很靠谱,0.11256609
用户6420794537,王和姚,0.11465844
用户6420794537,Z恩Z恩P大桢,0.13443413
用户6420794537,辞辞又困了,0.12532818
用户6420794537,你看小橘笑得多开心,0.12949682
用户6420794537,九九呐__,0.13350541
用户6420794537,文丽妮子,0.11982266
用户6420794537,飞鸟与鱼先生,0.12866466
用户6420794537,Amblin_Yao,0.11254614
用户6420794537,鱼徉澈水,0.12147282
用户6420794537,1-eleven--1,0.12299552
用户6420794537,仔仔糖糖宝贝滴妈,0.1226589
用户6420794537,钴鹤,0.14401652
用户6420794537,想不到明天的明天,0.11477832
用户6420794537,羽禅台北,0.1181293
用户6420794537,莉柚薇甜,0.12274155
